"treeId","commonName","scientificName","localName","category","zone","latitude","longitude","plantedDate","plantedBy","healthStatus","height","girth","caretakerName","description","healthBenefits","culturalSignificance","photos"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","GH Lawn","","","","","Healthy","2.1","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","GH Lawn","","","","","Healthy","2.3","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","GH Lawn","","","","","Healthy","1.8","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","GH Lawn","","","","","Healthy","3.0","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","GH Lawn","","","","","Healthy","1.5","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","GH Lawn","","","","","Healthy","2.3","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","GH Lawn","","","","","Healthy","1.0","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Sapodilla","Manilkara zapota","चीकू (Cheeku)","Fruit","C Block Lawn","","","","","Healthy","1.5","","","A sweet, malty-flavoured fruit tree that stays evergreen all year and gives dense shade.","Rich in natural sugars, fibre and Vitamin C; gives quick energy and aids digestion.","A popular seasonal fruit in Indian homes and orchards, enjoyed fresh and in milkshakes.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Java Plum","Syzygium cumini","जामुन (Jamun)","Fruit","C Block Lawn","","","","","Healthy","3.2","","","A tall, evergreen tree bearing deep purple, tangy-sweet berries in summer.","Rich in iron and antioxidants; traditionally used to support blood sugar balance and digestion.","Highly valued in Ayurveda and Indian folk tradition; its fruit is a beloved monsoon-season treat.","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
"","Lemon","Citrus limon","नींबू (Neembu)","Fruit","C Block Lawn","","","","","Healthy","1.5","","","A small evergreen citrus tree with fragrant blossoms and sour, juicy fruits.","Excellent source of Vitamin C; supports immunity, digestion and hydration.","Used in daily Indian cooking, home remedies and even as a protective charm (nimbu-mirchi).","https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=800"
